V1,V2,V3,V4,V5,V6,V7
73202.21,73202.21,56583.68,73202.21,73202.21,73202.21,22.7
364836.55,364836.55,328918.8,364836.54,364836.54,364836.54,10.0
124410.0,107258.0,100187.37,206339.0,207275.0,82865.0,19.47
24700.0,25000.0,19888.64,107565.0,90945.0,66245.0,19.47
443965.05,426437.0,370710.78,874361.76,765430.41,366894.48,16.5
416532.29,421346.2,335433.45,416532.29,416532.29,416532.29,19.47
79220.06,92000.0,66148.75,79220.06,79220.06,79220.06,16.5
51972.6,76356.0,41853.53,51972.6,181015.77,129043.17,19.47
3390.0,3390.0,2830.65,3390.0,3390.0,3390.0,16.5
12960.0,12960.0,10821.6,12960.0,12960.0,12960.0,16.5
3740.0,42460.0,3122.9,3740.0,3740.0,3740.0,16.5
56620.0,56620.0,47277.7,56620.0,56620.0,56620.0,16.5
1304598.0,2980167.22,1012260.39,1304598.0,1234463.89,1234463.89,20.0
347591.18,948225.48,276897.63,364012.3,364012.3,364012.3,20.34
3010298.81,3500000.0,2262192.41,3010298.81,2285290.81,2285290.81,20.8
1419287.51,608614.6,847607.58,1419287.51,993501.26,993501.26,23.83
882450.26,840000.0,728260.48,882450.26,882450.26,880450.26,18.03
150857.63,155614.57,122194.68,150857.63,150857.63,150857.63,25.53
25271.5,25271.5,18219.53,25271.5,25271.5,25271.5,16.5
100868.02,100868.02,84224.8,100868.02,100868.02,100868.02,16.5
56849.0,56849.0,39794.3,56849.0,56849.0,56849.0,30.0
152699.0,152699.0,106889.3,152699.0,152699.0,152699.0,30.0
29653.0,29653.0,20757.1,29653.0,29653.0,29653.0,30.0
64569.5,92242.14,54737.43,64569.5,64569.5,64569.5,15.23
236504.08,173887.6,162082.16,236504.08,236504.08,236504.08,16.5
366111.58,421095.86,285136.08,366111.58,366111.58,366111.58,22.12
78483.6,78483.6,65533.81,78483.6,78483.6,78483.6,16.5
105154.43,105154.43,87803.95,105154.43,105154.43,105154.43,16.5
139945.79,139945.79,116854.73,185341.56,185341.56,185341.56,16.5
123658.33,110119.67,95216.92,123658.33,123658.33,123658.33,23.0
133047.95,138879.97,102446.92,133047.95,133047.95,133047.95,23.0
72600.0,72600.0,50820.0,72600.0,72600.0,72600.0,30.0
427113.0,427113.0,316063.62,427113.0,427113.0,427113.0,30.0
137594.0,137594.0,96315.8,137594.0,137594.0,137594.0,30.0
500000.0,500000.0,358233.19,500000.0,500000.0,500000.0,28.35
155531.64,100171.83,85146.06,155531.64,65299.33,65299.33,19.84
416753.0,416753.0,305646.83,208378.0,453619.5,302413.0,19.0
109853.0,154332.0,82860.03,109853.0,109853.0,109853.0,24.57
66461.0,74916.0,50130.27,66461.0,66461.0,66461.0,21.88
79185.92,79185.92,60973.16,64085.0,64085.0,64085.0,23.0
73208.65,60940.5,56370.66,73208.65,73208.65,73208.65,23.0
66823.5,88006.9,49623.13,66823.5,66823.5,66823.5,25.74
22842.64,27595.02,21248.17,22842.64,22842.64,22842.64,6.98
87243.54,188569.8,123971.88,137243.45,132308.01,132243.45,23.0
19588.42,22145.7,14587.07,19588.42,19588.42,19588.42,25.53
77393.86,85821.0,57633.5,77393.86,77393.86,77393.86,25.53
18604.32,18604.32,14325.33,13000.0,13000.0,13000.0,23.0
