"Beijing","Chengdu","Fuzhou","Guilin","Hangzhou","Jinan","Laohekou","Nanjing","Shanghai","Wuhan","Yancheng","Yinchuan"
901925,295409,144937,73647,131745,42032,1126,132311,728774,165205,1784,8954
813862,278913,127894,85260,118126,37686,950,116150,621846,149857,1423,7484
1093830,328884,154828,115411,155158,50559,882,151273,853372,179222,2038,10669
1222118,338793,159888,147131,182250,59476,1519,161449,929476,198409,2551,10182
1319726,359994,165105,164195,191647,63045,1085,170999,988373,235444,2455,11378
1207586,321410,153874,129203,163870,54754,1171,146043,844391,207275,1794,10974
1450143,393673,166891,161847,181172,61093,2386,171583,960778,234409,2856,12528
1640003,415820,171948,185007,184679,69378,3032,180902,1030743,247603,3119,15671
1448413,379660,167366,159486,178230,67252,2138,174389,973214,241355,2284,14060
1632738,392035,183355,213164,212106,76528,1341,197812,1154384,269623,2613,14398
1365752,344349,182417,152554,185922,69932,990,189357,1062268,256397,2121,14329
1171327,306303,166236,103832,161227,62656,794,172513,928399,217758,1695,12777
1069020,285824,159082,78682,144972,58263,1040,153078,836311,209757,1929,11725
1124406,302248,157720,106267,149084,56666,877,158074,873906,227208,1538,11248
1280397,376340,166147,116891,162667,72239,814,182007,1001374,236266,2203,13576
1267985,344550,165166,140204,193005,77524,1402,193000,1036452,247543,2758,14073
1426733,371987,175767,173557,210828,88111,1001,200010,1110416,278498,2654,15973
1362205,328767,157786,139960,186678,80706,1081,177808,978640,244494,1940,15379
1583122,419228,180977,175104,189432,90671,2203,192319,1088100,271541,3087,15970
1711995,427001,178987,186174,193587,98997,2799,195790,1155884,278742,3371,19321
1548224,386663,176089,159203,189703,89559,1974,193203,1073104,266651,2469,17523
1658319,403670,195279,213701,224205,98234,1238,213281,1220091,298454,2825,16424
1375104,354562,187898,148551,187013,88309,914,185236,1048642,256350,2293,13250
1205070,294443,164741,95240,152742,69311,733,152633,921906,219158,1832,12374
1179751,338389,171512,76540,152856,73933,610,161556,929906,225189,1571,12440
1080507,353189,163702,113919,154547,65937,515,153011,891801,213494,1253,9858
1367912,367666,177055,138082,177041,84276,478,173605,1080140,235078,1795,12450
1412381,371064,179722,165987,207534,91103,823,197190,1119719,274062,2247,14030
