VS,NO,TI
228996,223596,376649
238626,233619,377712
239967,238086,377635
243854,242078,377559
245814,240933,376992
245328,238308,377348
242758,235487,379410
244778,238910,379366
243172,242786,379204
246823,240263,378034
248163,244340,378412
247811,239841,376290
249596,247238,375956
250461,245543,378009
248715,244562,378787
252004,245483,378880
253438,249672,379283
248636,245558,378308
249078,246379,378721
252602,245608,379988
256306,251548,379672
255110,248020,379873
255979,250101,379705
259912,257110,380636
261247,256702,381630
261983,257243,382831
263591,259902,383703
266722,263617,386081
268152,267116,387428
270888,267274,391046
273690,269962,392458
272839,270260,392905
276174,275147,394962
279601,276563,397509
286819,282947,399867
286427,279553,403131
288548,285082,406227
284826,282050,410024
289703,283267,412505
285723,283067,416365
288559,281958,417944
287557,280935,419613
289766,286031,420061
295391,293362,422878
292579,287534,423761
291653,287837,423411
300523,297722,424819
286951,285761,427650
282216,278034,427740
294410,298761,428288
295434,290284,427431
299710,298631,426903
303327,299762,426698
299895,298450,426977
301708,293393,427419
305118,302037,429112
301400,301636,429813
308668,309681,430604
307100,300214,430451
306944,300340,431545
314243,310734,432041
315307,307763,431794
317890,312993,433816
315481,308808,435262
319891,314730,435850
323121,318582,436649
322356,317985,438381
323548,319003,439502
322342,320546,442164
328461,334883,442011
326215,315162,443551
321231,315862,445131
329311,322609,447565
328066,317566,448319
324438,320496,449505
325437,319913,450077
319456,311783,451051
316161,308278,451318
323738,318183,451164
325659,319181,450870
327640,316744,452142
327934,319141,452381
328564,315894,448738
328634,323185,446660
332122,324605,446914
328719,323330,448529
330297,320930,448211
334856,325839,449853
333782,323895,449415
334443,330311,451657
340153,332669,452112
338548,333542,454921
343156,340850,456211
343247,334868,460179
344376,343660,463454
352080,350542,463702
340138,332490,466442
349258,344116,466936
354902,347607,469592
349873,340628,469926
354799,374680,473849
351171,343396,475731
347434,341331,477551
355694,353558,477951
348767,339965,480117
346933,343810,482543
350674,342397,481091
342474,331651,483206
346303,335669,478167
340222,333709,472969
330407,321598,470111
338621,330648,465579
331066,323624,460103
327584,318383,454233
330649,321674,450073
321532,311279,445047
320527,319135,440153
319696,309565,434126
322146,311826,427663
320210,307779,425040
319921,316460,420363
321147,315044,417663
326689,318632,417289
328712,321713,416235
327982,315570,416898
325897,322318,417084
329880,327552,418312
330850,320425,420138
330305,320410,420153
330709,322408,419899
324433,316516,422815
329389,322287,421354
333022,329403,425226
335537,331017,422771
325799,321325,421934
328431,323673,420419
332311,329134,417414
336848,331032,414136
332698,330432,412796
340183,336273,410448
340877,342008,410308
340244,339312,408702
340850,340532,408175
339808,336730,407815
340028,338545,410883
352980,355658,413117
350819,349234,414979
352770,350859,418597
356357,354706,422734
356223,358172,426193
362024,357681,429631
363589,361228,430660
369755,363690,434447
373243,374426,439808
375655,372405,440736
382013,376329,446627
382807,380306,451699
383855,375939,455684
390937,384542,457273
388203,395094,457416
391168,400610,458823
389346,389371,462321
400060,403716,462211
404738,404124,463190
406590,409503,467356
408612,422991,469589
413984,420771,473484
415368,412563,479628
414806,418868,481360
416993,429833,486430
412083,418004,491752
423176,423471,496704
422375,428247,502260
416950,421540,507612
426361,422050,511720
413359,436326,516211
411032,415475,519277
416166,427628,521452
427393,435294,522126
418874,421727,524774
427918,430090,527354
433613,440302,529496
436289,446924,533799
444035,445463,538398
442994,447953,541473
445883,458795,542217
447733,453361,543548
446468,447601,548825
453197,457413,551521
463550,469721,555791
460258,478110,560985
466808,473441,568587
462772,468414,570330
460152,468449,573675
474797,476959,573299
476301,480712,574218
483326,487534,581513
487114,486374,582089
471548,469299,583485
453748,448170,577142
431223,417416,569028
399561,386984,559059
380029,362437,541115
366106,341587,536462
368542,337877,528677
357984,330371,522237
353510,330787,516106
353385,339379,512308
362350,345267,506980
363563,352283,503556
369376,357254,500396
375257,358697,496888
378656,366119,499908
384922,368668,502217
389942,367214,502020
393487,388683,503502
392368,387411,508527
400225,397231,511570
404564,403560,514391
402668,399887,514570
401947,401314,519062
410189,406214,522284
412315,407979,525205
416524,421308,531118
417900,415952,537162
423677,424624,543257
432464,426231,551348
440049,441479,558692
441053,433827,565583
457331,460671,573556
455758,453697,583372
455632,457336,590135
458333,455994,593440
464174,465134,597076
466076,467478,599689
463638,464308,598553
465411,461054,604705
467060,471788,607397
469881,478319,607500
473046,471692,611035
473877,475158,613530
477673,475369,614569
475592,471381,614094
477594,467933,614029
466816,465112,613690
475210,478363,616309
476102,453195,619464
481499,476580,623432
481887,478059,622417
482241,474814,621940
482478,485183,622299
483044,473430,625118
489470,492026,626538
482210,469135,626838
478947,475035,627523
483821,489105,626936
482308,497059,628178
487829,483048,629911
488582,482672,631323
488929,490760,634003
